column,min,max,range
apparent_temperature,3.0,47.6,44.6
cloud_cover,0.0,100.0,100.0
cooling_degree,0.0,20.6,20.6
dark_or_cloudy,0.0,1.0,1.0
day_cos,-0.9009688679024191,1.0,1.900968867902419
day_sin,-0.9749279121818236,0.9749279121818236,1.9498558243636472
evening_peak,0.0,1.0,1.0
heating_degree,0.0,15.0,15.0
heavy_rain,0.0,1.0,1.0
holiday_effect,0.0,1.0,1.0
hour_cos,-1.0,1.0,2.0
hour_sin,-1.0,1.0,2.0
household_size,1.0,4.0,3.0
humid_hot,0.0,1.0,1.0
humidity,21.0,100.0,79.0
is_weekend,0.0,1.0,1.0
load_lag_1,0.02,5.5502,5.530200000000001
load_lag_24,0.02,5.5502,5.530200000000001
load_rolling_24,0.2852,2.6305,2.3453
load_rolling_3,0.0828,4.3487,4.2659
meal_activity,0.0,1.45,1.45
month_cos,-1.0,1.0,2.0
month_sin,-1.0,1.0,2.0
morning_peak,0.0,1.0,1.0
occupancy_level,0.1,4.0,3.9
occupancy_share,0.1,1.0,0.9
rain,0.0,24.1,24.1
rainy_hour,0.0,1.0,1.0
school_vacation,0.0,1.0,1.0
sleep_hour,0.0,1.0,1.0
temperature,6.1,40.2,34.1
usage_period,0.0,2.0,2.0
wind_speed,0.0,62.4,62.4
working_hour,0.0,1.0,1.0
